time;P_pv_[kW]
2021-11-06 17:15:00+00:00;0.000655
2021-11-06 17:30:00+00:00;0.0011625
2021-11-06 17:45:00+00:00;0.0010825
2021-11-06 18:00:00+00:00;0.00191
2021-11-06 18:15:00+00:00;0.002445
2021-11-06 18:30:00+00:00;0.0009975
2021-11-06 18:45:00+00:00;0.001045
2021-11-06 19:00:00+00:00;0.001515
2021-11-06 19:15:00+00:00;0.0023825
2021-11-06 19:30:00+00:00;0.00202
2021-11-06 19:45:00+00:00;0.00162
2021-11-06 20:00:00+00:00;0.001425
2021-11-06 20:15:00+00:00;0.0019475
2021-11-06 20:30:00+00:00;0.0022375
2021-11-06 20:45:00+00:00;0.001775
2021-11-06 21:00:00+00:00;0.002325
2021-11-06 21:15:00+00:00;0.002365
2021-11-06 21:30:00+00:00;0.00187
2021-11-06 21:45:00+00:00;0.0029825
2021-11-06 22:00:00+00:00;0.00165
2021-11-06 22:15:00+00:00;0.0016725
2021-11-06 22:30:00+00:00;0.0028275
2021-11-06 22:45:00+00:00;0.002865
2021-11-06 23:00:00+00:00;0.00145
2021-11-06 23:15:00+00:00;0.0020575
2021-11-06 23:30:00+00:00;0.0014875
2021-11-06 23:45:00+00:00;0.001505
2021-11-07 00:00:00+00:00;0.00183
2021-11-07 00:15:00+00:00;0.0018425
2021-11-07 00:30:00+00:00;0.0018425
2021-11-07 00:45:00+00:00;0.0018425
2021-11-07 01:00:00+00:00;0.0018425
2021-11-07 01:15:00+00:00;0.0018425
2021-11-07 01:30:00+00:00;0.0018425
2021-11-07 01:45:00+00:00;0.0018425
2021-11-07 02:00:00+00:00;0.0018425
2021-11-07 02:15:00+00:00;0.0018425
2021-11-07 02:30:00+00:00;0.0018425
2021-11-07 02:45:00+00:00;0.0018425
2021-11-07 03:00:00+00:00;0.0018425
2021-11-07 03:15:00+00:00;0.0018425
2021-11-07 03:30:00+00:00;0.0018025
2021-11-07 03:45:00+00:00;0.00175
2021-11-07 04:00:00+00:00;0.001685
2021-11-07 04:15:00+00:00;0.0016025
2021-11-07 04:30:00+00:00;0.0014975
2021-11-07 04:45:00+00:00;0.00136
2021-11-07 05:00:00+00:00;0.0011675
2021-11-07 05:15:00+00:00;0.0008825
2021-11-07 05:30:00+00:00;0.0006675
2021-11-07 05:45:00+00:00;0.00086
2021-11-07 06:00:00+00:00;0.000955
2021-11-07 06:15:00+00:00;0.0015275
2021-11-07 06:30:00+00:00;0.01017
2021-11-07 06:45:00+00:00;0.01796
2021-11-07 07:00:00+00:00;0.027915
2021-11-07 07:15:00+00:00;0.037435
2021-11-07 07:30:00+00:00;0.04977
2021-11-07 07:45:00+00:00;0.04371
2021-11-07 08:00:00+00:00;0.0787675
2021-11-07 08:15:00+00:00;0.153205
2021-11-07 08:30:00+00:00;0.1644575
2021-11-07 08:45:00+00:00;0.1809025
2021-11-07 09:00:00+00:00;0.2517025
2021-11-07 09:15:00+00:00;0.2245425
2021-11-07 09:30:00+00:00;0.1756975
2021-11-07 09:45:00+00:00;0.17932
2021-11-07 10:00:00+00:00;0.2569875
2021-11-07 10:15:00+00:00;0.3169825
