time;P_infl_load_[kW]
2021-11-06 01:00:00+00:00;39.852
2021-11-06 01:15:00+00:00;36.916
2021-11-06 01:30:00+00:00;35.792
2021-11-06 01:45:00+00:00;33.492
2021-11-06 02:00:00+00:00;25.648
2021-11-06 02:15:00+00:00;26.616
2021-11-06 02:30:00+00:00;29.832
2021-11-06 02:45:00+00:00;25.04
2021-11-06 03:00:00+00:00;22.864
2021-11-06 03:15:00+00:00;23.26
2021-11-06 03:30:00+00:00;21.332
2021-11-06 03:45:00+00:00;29.644
2021-11-06 04:00:00+00:00;24.456
2021-11-06 04:15:00+00:00;19.98
2021-11-06 04:30:00+00:00;21.408
2021-11-06 04:45:00+00:00;23.724
2021-11-06 05:00:00+00:00;23.736
2021-11-06 05:15:00+00:00;28.48
2021-11-06 05:30:00+00:00;32.132
2021-11-06 05:45:00+00:00;30.108
2021-11-06 06:00:00+00:00;32.308
2021-11-06 06:15:00+00:00;32.488
2021-11-06 06:30:00+00:00;32.648
2021-11-06 06:45:00+00:00;39.46
2021-11-06 07:00:00+00:00;40.952
2021-11-06 07:15:00+00:00;34.948
2021-11-06 07:30:00+00:00;36.072
2021-11-06 07:45:00+00:00;39.252
2021-11-06 08:00:00+00:00;43.336
2021-11-06 08:15:00+00:00;48.412
2021-11-06 08:30:00+00:00;45.392
2021-11-06 08:45:00+00:00;42.732
2021-11-06 09:00:00+00:00;42.992
2021-11-06 09:15:00+00:00;42.868
2021-11-06 09:30:00+00:00;40.136
2021-11-06 09:45:00+00:00;44.352
2021-11-06 10:00:00+00:00;47.784
2021-11-06 10:15:00+00:00;42.544
2021-11-06 10:30:00+00:00;47.396
2021-11-06 10:45:00+00:00;45.92
2021-11-06 11:00:00+00:00;45.432
2021-11-06 11:15:00+00:00;52.2
2021-11-06 11:30:00+00:00;43.784
2021-11-06 11:45:00+00:00;32.44
2021-11-06 12:00:00+00:00;31.912
2021-11-06 12:15:00+00:00;34.912
2021-11-06 12:30:00+00:00;40.744
2021-11-06 12:45:00+00:00;44.464
2021-11-06 13:00:00+00:00;42.236
2021-11-06 13:15:00+00:00;35.712
2021-11-06 13:30:00+00:00;35.532
2021-11-06 13:45:00+00:00;34.82
2021-11-06 14:00:00+00:00;41.44
2021-11-06 14:15:00+00:00;44.696
2021-11-06 14:30:00+00:00;48.032
2021-11-06 14:45:00+00:00;36.464
2021-11-06 15:00:00+00:00;42.652
2021-11-06 15:15:00+00:00;49.272
2021-11-06 15:30:00+00:00;39.524
2021-11-06 15:45:00+00:00;43.312
2021-11-06 16:00:00+00:00;49.784
2021-11-06 16:15:00+00:00;52.62
2021-11-06 16:30:00+00:00;63.56
2021-11-06 16:45:00+00:00;63.988
2021-11-06 17:00:00+00:00;62.828
2021-11-06 17:15:00+00:00;67.596
2021-11-06 17:30:00+00:00;59.584
2021-11-06 17:45:00+00:00;59.892
2021-11-06 18:00:00+00:00;57.604
2021-11-06 18:15:00+00:00;55.952
2021-11-06 18:30:00+00:00;52.808
2021-11-06 18:45:00+00:00;53.176
2021-11-06 19:00:00+00:00;57.048
2021-11-06 19:15:00+00:00;56.992
2021-11-06 19:30:00+00:00;55.172
2021-11-06 19:45:00+00:00;57.484
2021-11-06 20:00:00+00:00;67.536
2021-11-06 20:15:00+00:00;57.892
2021-11-06 20:30:00+00:00;55.412
2021-11-06 20:45:00+00:00;57.808
2021-11-06 21:00:00+00:00;55.564
2021-11-06 21:15:00+00:00;56.072
2021-11-06 21:30:00+00:00;51.128
2021-11-06 21:45:00+00:00;55.312
2021-11-06 22:00:00+00:00;48.64
2021-11-06 22:15:00+00:00;45.568
2021-11-06 22:30:00+00:00;40.664
2021-11-06 22:45:00+00:00;41.452
2021-11-06 23:00:00+00:00;41.356
2021-11-06 23:15:00+00:00;32.204
2021-11-06 23:30:00+00:00;27.276
2021-11-06 23:45:00+00:00;28.284
2021-11-07 00:00:00+00:00;29.532
2021-11-07 00:15:00+00:00;30.484
2021-11-07 00:30:00+00:00;30.344
2021-11-07 00:45:00+00:00;35.812
2021-11-07 01:00:00+00:00;35.5
2021-11-07 01:15:00+00:00;35.576
2021-11-07 01:30:00+00:00;32.768
2021-11-07 01:45:00+00:00;33.812
2021-11-07 02:00:00+00:00;28.86
2021-11-07 02:15:00+00:00;26.348
2021-11-07 02:30:00+00:00;28.06
2021-11-07 02:45:00+00:00;25.336
2021-11-07 03:00:00+00:00;26.268
2021-11-07 03:15:00+00:00;25.192
2021-11-07 03:30:00+00:00;22.48
2021-11-07 03:45:00+00:00;22.64
2021-11-07 04:00:00+00:00;23.492
2021-11-07 04:15:00+00:00;24.3
2021-11-07 04:30:00+00:00;25.356
2021-11-07 04:45:00+00:00;28.14
2021-11-07 05:00:00+00:00;28.688
2021-11-07 05:15:00+00:00;27.368
2021-11-07 05:30:00+00:00;26.58
2021-11-07 05:45:00+00:00;29.228
2021-11-07 06:00:00+00:00;31.692
2021-11-07 06:15:00+00:00;29.46
2021-11-07 06:30:00+00:00;33.956
2021-11-07 06:45:00+00:00;38.376
2021-11-07 07:00:00+00:00;40.228
2021-11-07 07:15:00+00:00;44.676
2021-11-07 07:30:00+00:00;37.984
2021-11-07 07:45:00+00:00;34.728
2021-11-07 08:00:00+00:00;39.972
2021-11-07 08:15:00+00:00;46.476
2021-11-07 08:30:00+00:00;50.32
2021-11-07 08:45:00+00:00;43.856
2021-11-07 09:00:00+00:00;41.424
2021-11-07 09:15:00+00:00;44.776
2021-11-07 09:30:00+00:00;45.764
2021-11-07 09:45:00+00:00;48.064
2021-11-07 10:00:00+00:00;38.956
2021-11-07 10:15:00+00:00;40.648
2021-11-07 10:30:00+00:00;38.036
2021-11-07 10:45:00+00:00;41.924
2021-11-07 11:00:00+00:00;38.036
2021-11-07 11:15:00+00:00;39.524
2021-11-07 11:30:00+00:00;44.764
2021-11-07 11:45:00+00:00;49.496
2021-11-07 12:00:00+00:00;44.076
2021-11-07 12:15:00+00:00;44.688
2021-11-07 12:30:00+00:00;44.144
2021-11-07 12:45:00+00:00;39.556
2021-11-07 13:00:00+00:00;40.672
2021-11-07 13:15:00+00:00;45.572
2021-11-07 13:30:00+00:00;49.748
2021-11-07 13:45:00+00:00;49.908
2021-11-07 14:00:00+00:00;46.392
2021-11-07 14:15:00+00:00;41.18
2021-11-07 14:30:00+00:00;43.316
2021-11-07 14:45:00+00:00;47.008
2021-11-07 15:00:00+00:00;47.196
2021-11-07 15:15:00+00:00;48.004
2021-11-07 15:30:00+00:00;57.476
2021-11-07 15:45:00+00:00;62.752
2021-11-07 16:00:00+00:00;58.392
2021-11-07 16:15:00+00:00;63.776
2021-11-07 16:30:00+00:00;62.24
2021-11-07 16:45:00+00:00;66.696
2021-11-07 17:00:00+00:00;68.716
2021-11-07 17:15:00+00:00;59.62
2021-11-07 17:30:00+00:00;56.556
2021-11-07 17:45:00+00:00;56.664
2021-11-07 18:00:00+00:00;60.648
2021-11-07 18:15:00+00:00;58.828
2021-11-07 18:30:00+00:00;64.136
2021-11-07 18:45:00+00:00;53.656
2021-11-07 19:00:00+00:00;62.22
2021-11-07 19:15:00+00:00;63.564
2021-11-07 19:30:00+00:00;60.148
2021-11-07 19:45:00+00:00;50.236
2021-11-07 20:00:00+00:00;49.66
